Name	Assigned Name	Formula	KEGG Pathways	Metabolika Pathways	Molecular Weight	RT [min]	Area: C2.raw (F17)	Area: C4.raw (F18)	Area: C6.raw (F19)	Area: A1.raw (F1)	Area: A3.raw (F3)	Area: A5.raw (F5)	Area: D1.raw (F20)	Area: D3.raw (F22)	Area: D5.raw (F24)	Area: B1.raw (F7)	Area: B3.raw (F9)	Area: B5.raw (F11)	Area: B2.raw (F8)	Area: B4.raw (F10)	Area: B6.raw (F12)	Area: D2.raw (F21)	Area: D4.raw (F23)	Area: D6.raw (F25)	Area: A2.raw (F2)	Area: A4.raw (F4)	Area: A6.raw (F6)
Compound33	Pyruvic acid	C3 H4 O3			88.01467	4.225	4733965975.00697	7831696542.32146	8406595599.74431	4172787866.55233	1226905474.56394	3130449708.52103	2364169374.91234	4739136018.16776	4609675682.7503	467178132.605891	565334305.716686	371087516.927754	1549000917.7488	1842787528.60018	3788617315.89794	4702580270.14556	2847294068.77148	60431427.5678044	5309766641.55124	7352993212.65797	5805868318.19515
Compound34					88.01535	3.683	69068876.1328884	80102167.6760646	53489918.7853084	73049354.6803506	52599237.5093891	42081417.349627	63339135.7066213	60168119.0080549	42415346.9024962	37141759.762417	41143509.4372099	48835838.7127124	91465286.7772207	94401277.4575321	65295778.1069576	42635687.603523	5767088.62992421	3590414.88739351	102682557.173943	148425662.079195	99561888.5099198
Compound35	DL-Alanine; Lactamide	C3 H7 N O2	; Metabolic pathways;Biosynthesis of secondary metabolites;Microbial metabolism in diverse environments;Biosynthesis of plant secondary metabolites;Biosynthesis of amino acids;ABC transporters;Protein digestion and absorption;Cyanoamino acid metabolism;Aminoacyl-tRNA biosynthesis;Central carbon metabolism in cancer;Arginine and proline metabolism;Cysteine and methionine metabolism;Other	; Superpathway of L-lysine degradation;Superpathway of indole-3-acetate conjugate biosynthesis;Other	89.04806	3.704	1071150791.88697	753166248.195819	594698114.504187	921103133.386481	92450801.930343	577614209.992069	331555701.991908	595442018.540913	537486751.090677	161398528.940424	191257282.106957	220055517.770383	190958814.778321	536181600.15996	459892221.014059	547449179.682243	218991040.891837	549657209.707317	522894548.873812	552028803.902485	733051333.812183
Compound36	Deanol	C4 H11 N O		Other	89.08443	35.381	16959379.5153417	12137967.0015056	34922093.3481858	6968502.93658129	8867821.76137308	23656036.6744701	29421445.8365232	34481883.3693419	34349903.6630659	31489883.5599771	11706689.216098	6939684.98800242	13372801.2812052	18596550.2988807	20811405.5153357	19474962.383244	34634042.5352545	12589013.3552641	16731944.5325401	19115135.7717265	17310776.8020439
Compound37					89.50004	35.345	31132045.3874992	24050014.5713431	29096340.9633832	59250582.9285906	27114551.1623517	23234071.4532215	46553164.4428916	31391127.1486294	35997605.8073264	29327483.8409793	20848631.5226039	25283813.8409226	27979212.9937408	64971764.5829735	78443127.4837472	33028984.7049308	25509053.7798233	37981293.1124006	17769997.4038973	17633728.1197696	58185223.4481723
Compound38	L-(+)-Lactic acid	C3 H6 O3			90.03008	4.744	6124242251.06887	4149389229.51076	8908694932.19994	723648928.593442	1752391777.84967	11620801573.2793	7802333473.84699	5713605745.91793	8798761792.11067	3502233150.05854	3406175488.16935	3642527811.98964	3926687661.10187	5126665955.47277	11460793102.0358	7097062720.36808	16438415141.2678	1178246365.64372	1857657495.77336	10661601949.6986	4614656419.78119
Compound39					90.03009	3.687	1035224039.05305	1277061347.59176	710243225.809239	919088900.326645	634973784.097851	768173665.638712	615883081.956757	241020019.97014	703040020.468608	456034085.606677	585138606.04649	550197129.995918	1051036779.5347	1047883050.99753	961267433.902682	739383199.921864	100264989.640271	68987934.8215149	1875916378.698	1646859556.08832	1343918597.67576
Compound40	L-(+)-Lactic acid	C3 H6 O3			90.03009	4.312	7615482632.92773	9025494436.39208	11721126058.9034	27930071411.2056	2447874153.82093	16716207756.4757	7181212198.41459	9126644776.43044	6581472980.80735	2443754415.03582	4828269512.54285	954582221.999259	9624423566.62074	11153521441.5196	10959841785.4339	6829262175.66196	15775474261.8426	5657581789.42682	20011460333.6062	14280004617.0518	11817047397.0512
Compound41	L-(+)-Lactic acid	C3 H6 O3			90.0301	5.031	1595354758.26145	1787404756.09908	1861423102.59044	1824401216.14463	1709792717.81536	1905890710.46942	4824125668.1448	1490093837.21171	1350852420.24814	1242361985.55789	1604319500.62436	2315142748.74832	2536156048.47299	2685136315.10163	2500249198.66329	3802207667.55535	15227149058.5472	3277373965.99668	2421194445.10895	5003239867.85783	1984858430.16191
Compound42					90.03013	3.924	264498445.33747	386995919.612681	173195865.135448	230221222.950144	126161979.387441	165810059.510615	133203133.995998	53708636.7126242	188480237.405518	49438772.6662566	29603598.8364611	21258906.0141494	204464534.911644	279342390.059312	239990762.54556	210850464.225789	364969008.721279	293145134.729473	427976652.557589	478942296.641757	348492954.373349
Compound43					91.03341	4.78	183974962.326629	209224511.171174	259618892.169421	21960983.180814	50804211.0857395	30588932.8281739	387272764.577968	219022002.022506	251298646.469921	135359519.362626	145670527.561616	28695419.2352531	214552571.372944	146247988.584162	211145079.152875	211287944.884222	52185711.961145	65345180.8067724	256281487.992418	372405818.313862	129842085.663388
Compound44	Toluene	C7 H8	Metabolic pathways;Microbial metabolism in diverse environments;Degradation of aromatic compounds;Other	Anaerobic aromatic compound degradation (Thauera aromatica);Other	92.0627	25.238	4609542.94182686	6182249.70260775	7569989.35985344	3757640.07412424	4175725.73259806	4640479.32361316	6750153.88039882	6658028.08613682	35846924.6485255	3819304.80580915	6289334.09985413	7237338.87428983	42660681.0153986	43048496.2845922	64604572.6970111	34974216.4477917	5371522.73994106	54472526.9254211	24616856.7250202	23524663.9520751	9056821.54403937
Compound45	Toluene	C7 H8	Metabolic pathways;Microbial metabolism in diverse environments;Degradation of aromatic compounds;Other	Anaerobic aromatic compound degradation (Thauera aromatica);Other	92.06291	16.287	19763058.0570509	52089592.6621536	55538521.3599097	13737664.6544203	9326459.09909801	7785950.47836808	29875063.7447679	26275645.0032599	49759341.8865818	8916043.91656434	11993084.4848836	18583853.1150264	15383933.592589	9158941.76782912	13022512.4667147	42503385.2470081	20538970.663363	18218293.8238334	63306848.3002659	74080914.0394647	37442673.0793845
Compound46	Toluene	C7 H8	Metabolic pathways;Microbial metabolism in diverse environments;Degradation of aromatic compounds;Other	Anaerobic aromatic compound degradation (Thauera aromatica);Other	92.06293	17.565	14093595.562332	35159185.2935303	35015178.6822415	23696526.7231042	12396659.4197737	12063305.1129329	17607425.8034706	15705458.1476892	27572877.2583465	14673804.0330458	11969051.6317398	15982474.7504884	11768348.8289485	20612919.4390072	14008337.6855751	105315992.705308	18507712.3712595	13782102.7218441	78507579.2660552	28258639.8189158	33136318.782468
Compound47	1-Hepten-6-yne	C7 H10			94.07841	25.287	15133228.5989338	26561444.0689759	25226159.1510933	23460618.3495388	27691481.1867487	13305996.1513143	12181805.2821424	45809398.7610931	278896960.210189	7665260.7499905	15755038.6965513	15415723.7771559	191065923.696122	225653380.809546	248627084.465946	280214941.14637	20042572.0126015	308536742.471851	119067402.423402	127092257.406169	27464623.0074403
Compound48					94.9581	3.912	2452603.04922976	3768925.28049263	2112560.37243789	3009304.81631472	49384363.1496888	1929637.47317599	6583230.57623678	1445696.81432357	2454191.08572982	56828576.4895144	54166916.8348895	72660259.4525103	3444921.04032253	2538215.07057434	2380887.75479148	2583283.95344544	3822133.59307781	3102634.23586212	4110702.20908696	3685159.11542237	3116586.14643742
Compound49					94.95811	4.849	1109326.32330847	1227424.0998515	1678137.59066895	1733013.08887372	21202934.2147015	1122167.90525509	1175854.23624526	1343642.71103213	1317948.289761	9532395.89388874	7856986.24703823	17126683.5436364	1081600.54000233	1310557.41514484	1407872.27765486	1591401.07117701	1797306.57560238	1626631.8635937	1854634.51584337	1673157.03281032	1503868.12706213
Compound50					95.02365	3.715	7157094.11656962	7049849.33311773	6718653.75908318	5489737.93892778	276883841.083465	5271650.28481846	66869619.0498983	4400946.05520086	5793638.24086847	93005711.2272847	145499334.325418	173485459.894935	41650916.0504349	6251189.25176929	5853726.94233043	6146683.13603184	13608660.1923228	2768059.62862656	8007876.32304526	8177757.398425	7325194.25207402
Compound51					95.91488	3.55	22105409.125375	30051191.0546	42033678.1159682	33393899.3477909	238772133.623717	32194797.97325	64317087.1550528	69653592.6204881	31279587.0190481	30608827.67451	29102927.8780686	41495452.3326819	40545818.8071724	34526909.0380542	36533128.6086857	28648271.5899125	51899806.0069542	26807764.7424441	37463082.0029448	47123967.4446937	38875557.4524296
Compound52	Pyrone	C5 H4 O2	Metabolic pathways;Microbial metabolism in diverse environments;Other		96.0213	4.132	552247690.735582	597721752.165397	295711076.364828	392330299.512781	286157716.855201	377618279.974268	127539474.969095	94493950.4617118	223640841.075445	102277057.168998	89311229.8152946	83238224.4040513	400064158.273994	408905739.465387	287894182.424873	246276581.834853	231836591.292616	360612809.404244	470787613.983434	522417032.851041	497948776.377198
Compound53	Pyrone	C5 H4 O2	Metabolic pathways;Microbial metabolism in diverse environments;Other		96.02144	3.754	204283982.689221	96506095.8711983	28901248.7674005	36199653.8775608	11833323.5664748	37820891.7183377	13888598.4208269	4394762.35132806	66029054.0419801	6649550.84825786	1069719.25299184	3675277.53189576	24397218.2415329	121604458.601089	91136668.6416482	66787834.2628547	9554840.16163907	95799391.3769459	61707031.2387122	84066313.2358254	101133511.613473
Compound54	1-cyanopyrrolidine	C5 H8 N2			96.06887	4.267	9409093.73436807	52112475.6533954	17785682.219136	33143893.2092772	20395649.1204338	11158579.0243807	16209000.9093912	10973637.9213768	32540828.6769037	16082417.2789315	20676436.5770649	8581512.63749576	16821098.2604829	18494373.4581474	23061232.5801073	30120215.639879	12245901.1614008	27057809.5238064	39255047.9766346	16810025.6558541	23911140.7040533
Compound55					96.50743	1.25	96432180.1090336	112575206.340629	113379791.315044	379989860.88745	60831409.5365767	51663337.7442337	50049446.3295731	105730279.535028	161945667.543551	34050987.1886391	95711504.7627938	80890872.0825205	60051610.8080915	61574066.3188667	84196527.5921026	149686786.668205	99347117.2608167	133409672.71908	56839815.0777652	80173498.823471	79691943.3717777
Compound56					96.98434	35.312	34463512.6403067	24982053.8353592	41900038.8315598	34497558.5404744	28159524.8802532	33338238.0172894	58354026.9608549	42809190.1057806	40871271.666809	38555866.2983989	45078471.9263458	27836185.5243904	38571505.0478937	34609526.0930631	34651693.6104732	29260991.513674	35469426.3588815	54375496.2626671	21004264.4847562	20420045.1322117	30409109.279426
Compound57					97.97535	4.507	345385774.652592	829186690.864057	255518484.352052	713304366.073465	377227957.567439	595390080.190765	126191757.093297	165423125.48307	174205501.332518	242316733.087554	53612091.6273366	121746168.311027	325649010.702248	121718571.615028	107578624.648696	106521690.750132	472878742.906609	130220903.324489	556107284.947919	304821531.497534	662148064.459419
Compound58					97.97536	3.465	634317061.877951	875504523.903417	848993101.65416	930883871.822458	491313144.963867	855629068.790687	380271524.351865	834551346.134527	472322131.068749	637208717.11159	460052270.611616	593456737.004118	316032667.043732	448484562.310479	487921955.233617	550112471.857769	15377180.549307	9759958.38411813	648834319.004471	710756728.819556	688587840.38848
Compound59					97.97536	4.093	440502280.862758	468233627.071823	602429394.275974	350110710.980145	310888112.545681	487593288.221524	330201112.850993	170569808.937166	303208205.336314	239117090.713023	38365548.3159669	117939187.481629	194400597.468714	346269451.040915	368891602.367496	139300881.624652	470197541.733826	265199232.983069	47353076.0622109	445231228.272806	457985652.065054
Compound60					97.97537	3.805	319605013.375813	755338366.563428	781278517.3264	767375752.587174	269104675.46576	623066093.954413	740042972.327436	613118613.948864	203254874.615907	565937970.17278	312907677.035152	395743132.266604	438511679.467639	90381546.3484387	171731188.978592	382842481.598478	429074997.557113	892972928.301429	568436485.349578	1071933775.67885	499587699.61178
Compound61	Phosphoric acid	H3 O4 P		Superpathway of chorismate metabolism;Superpathway of purine nucleotide salvage;Anaerobic aromatic compound degradation (Thauera aromatica);Purine nucleotides degradation II (aerobic);Superpathway of aromatic amino acid biosynthesis;Superpathway of purines degradation in plants;Purine nucleotides degradation I (plants);Superpathway of L-lysine degradation;Superpathway of seleno-compound metabolism;Adenosylcobalamin biosynthesis I (anaerobic);Adenosylcobalamin biosynthesis II (aerobic);Superpathway of L-methionine salvage and degradation;Superpathway of L-threonine metabolism;Superpathway of histidine, purine, and pyrimidine biosynthesis;Other	97.97714	31.915	48986863.3594037	55981393.5728648	51871838.1876695	133127349.289898	143763945.294275	96727517.2594834	95873384.3628676	115530321.58518	35624547.1074411	173319099.847226	73654558.287858	92819978.7089435	88699086.5156824	55993327.6891714	70935136.7690661	92256483.619895	135429097.979033	154139354.783116	77474056.0446654	53400883.5131772	82408154.5968192
Compound62	SC4751000	C5 H6 O2	Microbial metabolism in diverse environments;Other		98.03712	4.117	161234054.140424	342944032.710495	45322789.6387281	170351299.298284	74304441.2518036	71413805.3054292	32068616.9785783	41280132.5105108	136986449.612648	14587351.2905947	12243276.6712624	16202901.7625379	120725738.564111	216937495.048382	225194244.662969	233234009.950084	42156372.856351	123681769.305247	237827954.329461	267874635.071526	281925930.811462
Compound63					98.50529	35.357	355863895.92542	284465459.787947	337382523.532954	371842921.768491	240956328.249817	287035376.856859	272393364.257243	210938843.321331	251805212.269696	336322461.293132	264648836.069429	174060130.867189	319471461.09869	358737150.513343	255424627.328483	216043659.700227	247011802.880769	521123061.635295	261486670.269037	228540379.607894	251600065.773656
Compound64		C2 H N3 O2			99.00683	35.39	15572121.0578304	15090650.1076598	11256514.3882175	22828684.5650578	8128599.84315908	23169892.7070585	16923892.6543466	11527562.4461496	16118509.1227525	20815569.7110176	14245590.9172404	11094143.3548584	17249047.7059607	15814363.9914189	18088011.4731892	11883840.8739613	18100884.4637739	15910793.3186574	7037486.82800256	12227768.2118939	15570412.285202
Compound65					99.0175	3.331	10565285.1816598	21990679.9199979	15485528.5376012	29233222.4910916	24615867.5636095	24023028.0484533	19618304.6305308	5324289.84292018	8391077.31058045	78206514.1780862	26145614.2608441	71474721.4791248	14138340.3501785	20258608.9631477	22524856.1186382	9594144.53995105	16132623.4307818	12695214.2783424	21662587.6372156	23157226.1464211	13294057.9292401
