OTU	Genus	Colon_A1	Colon_A2	Colon_A3	Colon_A4	Colon_A5	Colon_A6	Colon_B1	Colon_B2	Colon_B3	Colon_B4	Colon_B5	Colon_B6	Colon_C1	Colon_C2	Colon_C3	Colon_C4	Colon_C5	Colon_C6	Colon_D1	Colon_D2	Colon_D3	Colon_D4	Colon_D5	Colon_D6	SI_A1	SI_A2	SI_A3	SI_A4	SI_A5	SI_A6	SI_B1	SI_B2	SI_B3	SI_B4	SI_B5	SI_B6	SI_C1	SI_C2	SI_C3	SI_C4	SI_C5	SI_C6	SI_D1	SI_D2	SI_D3	SI_D4	SI_D5	SI_D6
50524947f4796771e664e0e788ece0f3	 g__Muribaculaceae	0.0371	0.0316	0.0128	0.0352	0.0125	0.0616	0.0223	0.0346	0.0271	0.0451	0.0329	0.022	0.0352	0.0258	0.0257	0.0441	0.0102	0.0274	0.0238	0.0296	0.0377	0.0467	0.0342	0.0203	0.0045	0.0308	0.0025	0.0075	0.002	0.0043	0.0036	0.0048	0	0.0034	0.001	0.0106	0	0.0015	0	0	0.002	0.0084	0.0027	0.008	0.0019	0.0018	0.0055	0
06538b77450f85903962437f449fa60a	 g__Enterorhabdus	0.0261	0.0057	0.0074	0.0088	0.0108	0.0034	0.0152	0.015	0.0103	0.0071	0.0228	0.0112	0.0129	0.0091	0.0029	0.0088	0.0134	0.0096	0.0064	0.0038	0.0113	0.005	0.0085	0.0067	0.0688	0.0453	0.0072	0.0427	0.0131	0.014	0.0138	0.0606	0	0.0383	0.0015	0.0412	0	4e-04	0	4e-04	0.0348	0.0465	5e-04	0.0099	0.007	0.0209	0.0066	0.0024
2ef1e51ab1cf99a3c6417b05a060830e	 g__Lactobacillus	0	0.0056	0.0098	0.0079	0.0177	0.0079	0.0187	0.0018	0.019	0.0038	0.0011	0.006	0.0054	0.0017	0.0327	0.0074	0.0322	0.0053	0.019	0	0.0216	0	0	0	7e-04	0.0351	0.0144	0.0229	0.0268	0.0142	0.0278	0.0275	0.0366	0.0252	0.0924	0.012	0.0547	0.0174	0.1017	0.0432	0.0624	0.0113	0.012	0	0	0	0.0317	0
851c7990fae0a661eacab06f0e5e2775	 g__Bacteroides	0.0132	0.0123	0.0098	0.0357	0.0101	0.0774	0.0238	0.0723	0.0383	0.0258	0.0102	0.02	0.027	0.1032	0.036	0.0139	0.0241	0.0296	0.0198	0.0032	0.0247	0.0988	0.0546	0.0073	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
f434bb1f62e53ad7aed6f6ffd2ec039c	 g__Lactobacillus	0	0.0209	0	0.0044	0	0	0	0.01	0	0.0029	0.0547	0.0022	0.0104	0	0	0.0061	0.0368	0.0059	0	0	0.0158	0	0.0178	0	0.0196	0.0638	0	0.0153	0	0.0034	0	0.0247	0	0.0165	0.0239	0.0067	0.0822	0.011	0.0389	0.0112	0.0293	0.0453	0	0.0046	0.0115	0	0.0035	0.0932
938fbbe51af86d1d7ebd6817a0f0bd24	 g__Bacteroides	0.0122	0.0092	0.0083	0.0375	0.0083	0.0583	0.0205	0.05	0.0253	0.0185	0.0066	0.0151	0.0248	0.0833	0.0288	0.0084	0.0215	0.0253	0.0167	0	0.0218	0.0737	0.0472	0.0079	0	0	0	0	0	0	0	0	0	0	0	0	0	7e-04	0	0	0	0	0	0	0	0	0	0
7b9c8d4a1896d84d92ab4820edd025a6	 g__Staphylococcus	0	0	0	0	8e-04	0	2e-04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.05	0	0	0	0	0	5e-04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.4979	0	0	0
4feb426703234389503a7b994773d50c	 g__Alistipes	0.0078	0.0116	0.0037	0.0199	0.0097	0.0162	0.0108	0.0248	0.0113	0.0145	0.016	0.0123	0.026	0.0204	0.0161	0.0119	0.01	0.0183	0.0178	0.0179	0.0413	0.0441	0.0177	0.037	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2e-04	0	0	4e-04	0	0	0	6e-04	0
721bbde09abf2f51fc7d8caeab5b22f1	 g__Clostridium_sensu_stricto_1	0	0	0.0097	0	0.0215	0	0	0	0.0042	0	0	0	0	0	0	0	0	0	0.0353	0	0.0408	0	0.1256	0	2e-04	0	4e-04	0	0.0036	0	0	0	3e-04	0.0062	0	0	0	0	0	0	0	0	0.0801	0	0.1259	0	0.0144	0
4c2b64b57a4d0bf53cb325a4284bec4f	 g__Muribaculaceae	0.0053	0.0224	0.0076	0.0193	0.003	0.0153	0.0131	0.0173	0.0066	0.0187	0.007	0.0107	0.0142	0.016	0.0138	0.0136	0.0129	0.0041	0.0057	0.0109	0.0075	0.0183	0.0129	0.01	4e-04	0.0151	0.0012	0.0043	5e-04	0	0.003	0.0058	0	0.0023	0	0.0063	0	5e-04	0	0	0.0032	0.0034	0	0.0098	5e-04	0	2e-04	0
c220411c349b8a75624ff17ef6fd3923	 g__Roseburia	0.0656	0.0253	0.006	0.0142	0.0068	0.0096	0.0058	0.0076	0.0125	0.0062	0.0069	0.0377	0.0104	0.0037	0.0014	0.0266	8e-04	0.0074	0.0028	0	0.0065	0	0.0081	0	0	0.0035	0	0	0	0	0	0	0	0	0	7e-04	0	0	0	0	0	0	0.0015	0	0	0	0.0066	0
e4ef1c7b616eb842c0ff7a327e83bd76	0	0.0032	0.0103	0.0017	0.0114	0.0022	0.0108	0.0028	0.0073	0.0037	0.005	0.0035	0.0037	0.0065	0.0117	0.0052	0.0088	0.0022	0.007	0.0037	0.0138	0.0066	0.0786	0.0096	0.082	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1e-04	0	0	5e-04	0
7b28c20e72c6c95b3e604f0849245770	 g__Akkermansia	0	0	0.0032	0.005	0	0.0233	0	0	0.0044	0	0	0	0	0.0641	8e-04	0	0.0094	0	0	0.0539	0	5e-04	0	0.1534	0	0	2e-04	0	0	7e-04	0	0	0	0	0	0	0	0	0	0	6e-04	0	0	0.0042	0	0.0105	0	0
4ae33466f29277f3cba0834c894ee4a4	 g__Lachnospiraceae_NK4A136_group	0	0	0	0.0248	0	0.057	0.0181	0.0073	0	0.0122	0.0111	0.0187	0.0314	0	0	0.0111	0.0223	0	0	0.0324	0.0138	0.0122	0	0.0024	0	0	5e-04	0.0048	0	0.0033	0	0	0	0.0013	0	0	0.0013	0	0	0	0.0022	0	0	0.0016	0	0	0.0422	0
d15bc449222795a9ff230013aa633686	 g__Acinetobacter	0	0	0	2e-04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0045	0	0.0219	0	0	0	0	0	0	0	0	0	6e-04	0	0.0024	0	0	0	0.0013	0	0.3045	0	0
922d33a2963d3e87a3d4df6b82371235	 g__Staphylococcus	0.0028	0	0	0	0.0192	0	0	0	0	0	0.0029	0	0	0	0	0	0	0	0	0	0	0	0.0054	0	0.0011	0	3e-04	0	0.0103	0	0	0	0	0	0.0028	0	0	0	0.0031	0	0	0	0	0	0.065	0.186	0	0.0096
752cb7cfcd647d0d12232815f9010f34	 g__Muribaculaceae	0.0091	0.009	0.0041	0.0122	0.0031	0.0157	0.006	0.0095	0.0071	0.014	0.0099	0.0068	0.0088	0.0096	0.0073	0.0115	0.0034	0.0098	0.0084	0.0095	0.008	0.0132	0.0108	0.0065	9e-04	0.0082	0.0013	0.0049	8e-04	0.0018	0.0013	0.002	0	0.0013	0	0.0023	0	0	0	0	0	0.0018	0	0.0018	0	0	9e-04	0
11401ee29264e6f60b65371a2601cd07	 g__uncultured	0.003	0.0117	0.0073	0.0184	0.0062	0.0078	0.0146	0.0034	0.0191	0.0073	0.0099	0.0026	0.0192	0.0073	0.015	0.0252	0.0042	0.0056	0.009	0.0045	0.0114	0.0113	0.0102	0.008	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3e-04	0	0	0	0.0015	0
333bbf9224442fc10cd497377d2b1d01	 g__Bacteroides	0.0102	0.0228	0.0019	0.0084	0.0036	0.0144	0.0091	0.0095	0.0094	0.0083	0.0081	0.01	0.0131	0.0195	0.0189	0.011	0.0051	0.0073	0.0081	0.003	0.0033	0.0052	0.0076	0.0077	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9e-04	0	0	0	0	0
725f3336cd7e92e814c5f299fc4bfddb	0	0.0134	0	0.0041	0.0061	0.0019	0.0167	0	0.0014	0.0083	0.0177	0.0065	8e-04	0.0105	0	0.0145	0	0.0062	0.0304	0.0016	0.0013	0.0085	0.0024	0	0.0013	0.0018	0	4e-04	6e-04	0	0.0058	0	0	0	0.0024	0.0064	0	0	0	0	0	0	0.0026	0	0	0	0	0.0126	0
c0d5395792eadbf5f62e8ffb14fa0262	 g__Mitochondria	0	2e-04	0	6e-04	0	0.0011	1e-04	4e-04	0	9e-04	2e-04	2e-04	4e-04	0	7e-04	0	0	0.0026	0	2e-04	0.0013	0	0	0	0	0.0296	1e-04	0.0132	0	0.0025	0	5e-04	4e-04	0	0.0015	0.0027	0.002	0.0083	0.0018	0.1821	0	0.0021	7e-04	0.0064	0	0	1e-04	0
98f7a3ab6c00ede77b927f2239576bac	 g__Lachnospiraceae_NK4A136_group	0	0	0	0	0	0	0.0395	0	0	0	0	0.1305	0	0	0	0	0	0	0	0	7e-04	0	0	0	0	0	0	0	0	0	0.0012	0	0	0	0	0.0021	0	0	0	0	0	0	0	0	0	0	0.0026	0
99deb3c5ecb022ec05609ebd1112a557	 g__Bacteroides	3e-04	0.0105	0	0.0088	0.0012	0.0095	0.0067	0.0121	0.006	0.0042	0.0052	0.0058	0.0119	0.0144	0.0091	0.0065	0.0032	0.0031	0.0079	0.003	0.0054	0.0164	0.0191	0.0029	0	3e-04	0	0	0	0	0	0	0	0	0	0	0	5e-04	0	0	0	0	0	0	0	0	4e-04	0
2acc64fc35abd8595519fa81d19066b0	 g__uncultured	0.0069	0.0042	0.0022	0.0024	0.0029	0.0012	0.0019	0.0014	0.0034	0.0019	0.0048	1e-04	0.0041	0.002	0.0019	0.0032	0.0019	0.0014	0.0023	0.0012	0.0047	4e-04	8e-04	0	0.0098	0.0134	0.0012	0.0117	0.0035	0.0066	0.0017	0.0044	0	0.0101	0	0.0029	0	0	0	0	0.0048	0.0068	0	0.0043	0	0	0.0016	0
fd91a3daccb09f9f8c51d4997b4b12ce	 g__Streptococcus	0	0	0	1e-04	0	0	0	0	0	0	0	0	5e-04	0	0	0	0	0	0	0	0	0	0	0	3e-04	3e-04	0	7e-04	0	0	0	8e-04	0	4e-04	0.0019	0	0.0118	0.0039	8e-04	0.0051	0	0	0	0.002	0	0.114	0	0.0312
d3d5f57b1c8aafeca61afdb1627d2990	 g__Roseburia	0.0199	0.0107	0	0.0022	0.0014	0.012	0.0019	0.0244	0.0033	0.0064	0.0069	0.0032	0.0041	0.0067	0.0049	0.0022	0.005	0.0044	0.0013	0	0	0.0027	0.0017	0	0.0015	0.0037	0	0	0	0	0	0.0017	0	0	0.0015	0	0	0.0028	0	0	0	0	0.0015	0	0	0	0	0
8be9dac75adfd36649c004c8b72de91d	 g__Bacteroides	0.0013	0.0121	0.0022	0.0038	0	0.0185	0.0013	0.0068	0.004	0.0015	0.0042	0.0104	0.0019	0.0039	0.0029	0.0066	0	0.0039	0.002	0.0132	0.0059	0.008	0.0019	0.0163	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
249abffddd8f83d38a12ee0be3afc48f	 g__Muribaculaceae	0	0	0.0031	0.0083	0	0.0056	0.0057	0.0092	0.0034	0.0029	0	0.0041	0	0.0081	0	0.0092	0.0038	0	0.0052	0	0	0	0.0059	0.0038	0.0035	0.0057	0	0.0074	0	0.0036	0.0068	0.0115	0	0.0048	0	0.0093	0	0	0	0	0	0.0079	0	0.0037	0	0	0	0
ce72009c0c36b5ff547b9a0c89f669ce	 g__RF39	0.0015	7e-04	3e-04	0	0.0011	0.0056	0.0011	3e-04	0.0086	0.0341	0.0012	0	0.0018	0.0015	0.0146	0.0031	0	0.01	0	0.0013	8e-04	0.0292	0.0059	8e-04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2e-04	0
836cd5ea357ad392c00a7e48d921be1d	 g__Bacteroides	0.0016	0.0087	0	0.0067	0	0.0024	0.004	0.0043	0.0031	0.0089	0.0064	0.002	0.0062	0.005	0.0078	0.004	0.0037	0.0016	0.0022	0.0027	0.01	0.0128	0.004	0.019	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7d778ad679a7e22769f032c56e881c28	 g__Muribaculaceae	0.0051	0.0034	0.0034	0.0062	0.0022	0.0023	0.0041	0.0029	0.0035	0.0067	0.0066	0.0034	0.0051	0.0029	0.005	0.0065	0.0028	0.0049	0.0022	0.0046	0.0045	0.0078	0.0049	0.0076	5e-04	0.0026	0.0018	0.0024	6e-04	6e-04	6e-04	0.0013	0	0.0014	0.001	0.0024	0	0	0	0	6e-04	0.0025	4e-04	0.0026	0	0	0	0
bd173305e238a778db3300165a6700cb	 g__Lactobacillus	0	0	0	0	0	0	0.0028	0	0	0	0	0	0	0	0.007	0	0.0065	0	0.0037	0	0.0059	0	0	0	0	0	0.0064	0	0.0078	0.0022	0.0055	0.0057	0.0091	0	0.022	0	0.0103	0.004	0.029	0.0064	0.013	0	0	0	0	0	0.0087	0
f44404ea806c18f6b05b7cbb4f3e5fd2	 g__Romboutsia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0525	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0806	0	0	0
83675d30639c20d61e9f59c2b956ee5b	0	0	0	0.0049	9e-04	0.0019	0.0028	0.0066	0.0019	0.0067	0.0126	0.0052	0.0054	0.0175	0.0023	0	0.0088	0.0096	0.0037	0.0033	0.0177	0.0061	0	0	0.0082	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8e-04	3e-04	0	0	0.0092	0
476a27c3796dfc1790e181f789663a33	 g__Lachnospiraceae_NK4A136_group	0	0.016	0.0031	0	0.0024	0	0	0.0011	0	0.0024	0.0044	0	0	0.0407	0.0062	0.0266	0	0.0039	0	0	0.0053	0	0	0	0	0.0011	0	0	3e-04	0	0	0	0	0	0	0	0	0.0099	0	0.0019	0	0	0	0	0	0	0.011	0
3607057269c686e051968f65be3a96dc	 g__Muribaculaceae	0	0	0	0.0048	0	0.0029	0.0047	0.0041	0.0055	0	0	0.0046	0	0.0064	0.0036	0.0062	0.0052	0.0027	0.0053	0.0075	0	0.0041	0.0068	0.0026	0	0	0	0.0063	0	0.0021	0.0047	0.0046	0	0.003	0	0.0098	0	0	0	0	0	0.0103	0	0.0057	0	0	0	0
7f86fe47ae4b09efb9edc6826f727868	0	0.0235	0	0.0032	0.0308	0	0.0017	0.0011	0	0	0	0	0	0.0013	0	0	0.0014	0.003	3e-04	6e-04	0.0137	0	0	0.0038	0.0088	0.002	0	0	0.002	0	0	3e-04	0	0	0	0	0	0	0	0	0	0	0	0	0.0011	0	0	0	0
99fb9382309c4df284441f7c20d143c5	 g__Roseburia	0.0272	0.011	0	0.006	0	0.0056	0	0	0.0052	0.0037	0	0.0157	0	0	0	0.0139	0	0.004	0	0	0	0	0.0032	0	3e-04	0	0	0	0	0	0	0	0	0.0012	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5f1f6453ad88dc836876671d27f97f58	 g__uncultured	0.0136	0.0034	0.0023	0.0016	0.0021	0	0.0061	6e-04	0.0016	0.0036	0.0066	0.0018	0.0011	0	0.0018	0.0023	0.0012	0.0025	0.0011	8e-04	0.0021	4e-04	0.0015	2e-04	0.0025	0.0016	3e-04	0.0018	0.0021	4e-04	8e-04	0.0011	0	0	0.002	7e-04	0	0	0	0	0.0028	0.0134	0.0027	2e-04	0.001	0	0.0155	0
881827d013845a8d4e929224f9fd24e1	 g__Lachnospiraceae_NK4A136_group	0	0.0018	0.0085	0	0.0039	0	0	0	0.0089	0.0413	0.0219	0	0.0116	0	0	0	0	0	0.0014	0	0	0	0.0014	0	0	0	0	0	0	0	0	0	0	0	0.0027	0	0	0	0	0	0	0	0	0	0	0	0	0
d2d480b667c0d25176b7ad8e933c0ae7	 g__Erysipelatoclostridium	0.0061	0.0032	3e-04	5e-04	4e-04	3e-04	8e-04	0.0684	6e-04	0.0011	6e-04	1e-04	5e-04	0.0063	0.0195	7e-04	1e-04	5e-04	4e-04	0	0	0	0.0026	0	0	0.001	0	0	0	0	0	0.0014	0	0	0	2e-04	0	0	0	0	0	0	0	0	0	0	0	0
707740d13076516032127f753473cfc3	 g__Lachnospiraceae_NK4A136_group	0.007	0.0115	0.0139	0	0.0041	0.0076	0.0062	0.0011	0.0057	0.002	0.007	0.0057	0	0.0023	0	0	0.0026	0.0159	0	0	0.0016	0	0	0	0	0.0014	3e-04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0018	0
04fc2a013ca103abb05f583df51dd717	 g__Roseburia	0	0	0	0	0	0	0	0	0	0	0.0174	0.0132	0.004	0.0011	0	0	0	0.0333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0023	0	0	0	0	0	0.014	0	0	0	0	0	0.0296
eadf136b3be32021ccc7859e14c84f07	 g__Lachnospiraceae_NK4A136_group	0	0	0	0.057	0	0	0	0	0	0	0	0	0.021	0.002	0	0	0	0	0	0	0.0033	0.0026	0	0	0	0	0	0.0054	0	0	0	0	0	0	0	0	0.0012	0	0	0	0	0	0	0	0	0	0.005	0
a927fa934cf9d977992764c4dcba0b7d	 g__Lachnospiraceae_NK4A136_group	0	0	0.0066	0.0134	0.0022	0	0	0	0.005	0.0021	0	0	0.011	0	0	0.0013	0.0014	0.0343	0.0027	0	0	0.0143	0	0.005	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0022	0.0015	0	0	0	0	0
227262067d4e6d71cd179bc7f7a5d1c4	 g__Roseburia	0	0	0.0037	0	0	0	0	0	0.0118	0.0329	0.0018	0	0	0.0205	0	0.0012	0.0059	0.0011	0.0015	0.0085	0.0037	0.0011	0	0	0	0	3e-04	0	0	0	0	0	0	0	0	0	0	0.0089	0	0	0	0	0	0	0	0	0.0096	0
9b4036adb487adfe4ca484346b5b9a7b	 g__Lachnospiraceae_NK4A136_group	0	0	0	0.0018	0.0015	0	0	0.0139	0.0055	0.011	0.0044	0.0015	0	0.0161	0	0	0.0136	0.0253	0	0	0.0017	0	0	0	0	0	0	0	0	0	0	0	0	7e-04	0	0	0	0.0033	0	0	0.0043	0.0024	0.0018	0	0	0	0.0035	0
e335f74033bc634af43ee6baa84fa247	 g__Romboutsia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0425	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0637	0	0	0
65d43491988bfe557da4d86a5ba25dae	 g__Staphylococcus	0	3e-04	0	0	0	0	0	0	0	0	0	0	9e-04	0	7e-04	0	0	0	0	0	0	5e-04	0	0	0.0031	0.0044	0	0	0	0	0	5e-04	0	0.0016	0.0247	9e-04	0.0364	0.0045	0	0.0011	0	0	0	0.0011	0	0.0155	0	0.0222
5a483930ae687501d239547148452dec	 g__Lachnospiraceae_NK4A136_group	0.0058	0.0218	0	0.0034	0	0	0	0.0019	0	0.0177	0	0	0	0.0081	0	0.002	0	0.0036	0	0.0099	0	0	0	0	0	0.0031	0	0	0	0	0	0	0	0.0037	0	0	0	0	0	0.0016	0	0	0	0	0	0	0	0
daf471369c8df7afa7849741660d855b	 g__A2	0.0117	0.0057	0	0.0021	0.002	0	9e-04	0.0034	9e-04	0.005	0.0011	6e-04	0.0028	0.004	0	0	0.0079	0.0031	0.0021	0.0061	6e-04	0.002	6e-04	0.0045	0.0023	0.002	0	0	6e-04	0	0	0.0012	0	0.0013	0	0	0	0.0024	0	0	0.0045	0.0015	0.0027	0.0011	0	0	0.0041	0
6c921e3ae0af506f54295d074ca071bc	 g__A2	0	0.0031	0	0	0	0	0.021	0.0081	0	0	0.0064	0.0119	0.0035	0	0	0	0.0143	0.0027	0	0	0.0033	0	0	0	0	0.0016	0	0	0	0	0.0017	0.0011	0	0	0.0014	0.0015	0	3e-04	0	0	0.0055	0	0	0	0	0	0.0099	0
54dcb911e3ab04e9d5b30c3912100b41	 g__Lachnospiraceae_NK4A136_group	0.0043	0	0	0	0.0025	0	0.0017	0.0188	0.0096	0.0032	0.0037	0.0054	0	0.0023	0	0	0.0157	0	0.0054	0	0.0032	0.0016	0	0.0025	0	0	0	0	4e-04	0	0	2e-04	0	0	0.0016	0	0	0	0	0	0	0	0.0024	0	0	0	0.0097	0
3dfaa3fabdf04711351c97af550d2921	 g__Lachnospiraceae_NK4A136_group	0.0068	0.0058	0	0	0	0	0	0	0.0082	0	0	5e-04	0	0	6e-04	0.0154	0.0069	0.0222	0.0018	0	0	0.0098	0	0.0012	0	8e-04	0	0	0	0	0	0	0	0	0	0	0	0	0	8e-04	0	0.0021	0.0011	0	0	0	0	0.0031
d084b32d5ad7ee012fef1f2de8889355	 g__[Eubacterium]_ventriosum_group	0.0059	0.0054	0	0	0	0.0059	0.0097	4e-04	0.0061	0	0.0129	2e-04	0	0.0052	0.005	0	0.0029	0.0059	0.0102	0	0	0	0.0025	0	7e-04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0022	0	0.0019	0	0	0	0
d46e2205f0c6ecf67b51f83d111c509c	 g__Escherichia-Shigella	0	0	0	0	0	0	0	0	0	0	3e-04	0	3e-04	0	0	0	0	0	0	2e-04	0	8e-04	0	8e-04	0	3e-04	0	0	0	0	0	0	0	0	0.0114	0	0.0087	0.031	4e-04	0.0035	0	0	0	0	0	0.0387	0	0.007
39fce827ceabb76a6010195957d9e59b	 g__Clostridia_UCG-014	0.0049	0.0117	0	0.0081	0	0.0073	0	0	0.0034	0.0017	0	0	0.0014	0.0013	0.0134	0.0029	0	0	0	0	0.0026	0.0115	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
