Name	Assigned Name	Formula	KEGG Pathways	Metabolika Pathways	Molecular Weight	RT [min]	Area: A1-GenX-colon.raw (F1)	Area: A3-GenX-colon.raw (F3)	Area: A5-GenX-colon.raw (F5)	Area: B2-PFos-colon.raw (F8)	Area: B4-PFos-colon.raw (F10)	Area: B6-PFos-colon.raw (F12)	Area: D1-GenX-colon.raw (F17)	Area: D3-GenX-colon.raw (F19)	Area: D5-GenX-colon.raw (F21)	Area: B1-GenX-colon.raw (F7)	Area: B3-GenX-colon.raw (F9)	Area: B5-GenX-colon.raw (F11)	Area: D8-PFos-colon.raw (F18)	Area: D10-PFos-colon.raw (F20)	Area: D12-PFos-colon.raw (F22)	Area: A8-PFos-colon.raw (F2)	Area: A10-PFos-colon.raw (F4)	Area: A12-PFos-colon.raw (F6)	Area: C2-PFos-colon.raw (F14)	Area: C4-PFos-colon.raw (F15)	Area: C6-PFos-colon.raw (F16)
Compound11			NA		78.53004	3.326	293594.196571459	164641.304966674	805749.091302634	490236.780676566	854914.621997613	651106.675614721	378257.679557707	170673.608791472	428262.435494889	392990.587581565	603264.411390419	370906.076222814	665722.19419255	942888.379280735	11403.4322913103	1091667.77386195	1533578.21091545	1198577.51279214	473697.790852377	81796.150050596	382813.676210108
Compound12			NA		80.98776	3.442	53566.8418082504	65607.3111743566	112715.740769596	40607.4252152228	239592.281775333	109919.477600744	91869.144498615	27375.7396998223	59909.5050222569	75133.4968453093	261524.52019781	88521.4895265198	257031.431782766	231289.430502754	5282.19381422094	145623.059584095	392050.861096225	204555.100505746	96747.588654584	6186.88363478882	96214.0298527512
Compound13			NA		81.00703	3.35	9721943.24961846	6220166.34122135	29957150.0693824	10381006.7940419	21069761.1858602	19826695.9482116	10519432.4904161	3106654.21315738	16174697.1853775	15011174.1634111	28052431.0286673	14069156.5402449	20117900.1719034	30288431.6668559	621733.376049676	23257750.5987577	26381009.9404117	24323730.2704407	11147770.0792565	1236583.35099632	15177638.3831071
Compound14			NA		81.00704	3.119	149403.981204595	2030528.86535404	211233.998895627	9964826.47252885	6918596.6345349	4655349.19355788	2589324.90037137	1349423.49378951	264073.974955746	2094686.01364645	6617465.42665958	150169.463320243	271392.109881132	330284.285783284	196867.190342967	22290744.4256717	1727461.13810537	2535335.40925001	10614694.6235037	511009.006423837	3965998.89420477
Compound15			NA		81.53031	3.347	11352347.729512	9917481.99992592	31674606.3741182	11272878.5853287	20911980.200848	20484766.5294987	12523773.7439173	3685425.04251644	19609025.8759284	16430334.3376368	49214766.607554	16018354.4627189	21897387.8103835	32694400.8707052	722772.741790806	27669612.8020783	28344354.6022631	26655017.6780453	14118334.2086263	1408343.14308058	23536067.5240026
Compound16			NA		81.98055	3.657	19513.3036311906	12959.2530253127	10112.2159121407	1711970.4753497	238207.594138898	15578.1246647615	15028.7585959614	21150.2223873991	15122.8766365611	10456.8176618678	15048.624397871	10656.6813052051	22768.7721907639	18574.3450926644	24267.841161148	5138657.6028174	10962.7442656911	36994.6659546794	1515963.50202031	25002.6684837713	13684.5622752719
Compound17			NA		82.03194	3.359	813509.60849633	473548.905163627	2360933.9081485	815347.311028021	1570695.05740957	1139818.38560241	1168132.19440551	272892.077523559	1496462.56146122	1270450.32100336	2167690.84894417	1212322.74491213	1525851.53327619	2498054.00983365	56698.7827314264	1942247.26199704	2071762.79930554	1820792.32680316	1016453.97880429	91929.0244691044	1686977.01344209
Compound18	Cyclopentenone	C5 H6 O	NA		82.04222	4.429	881646.793976307	5797134.38804553	3483297.79195517	68955.7119964371	1306744.9734971	615880.538439615	327795.990042363	2355996.70227876	1633889.79974227	214696.710271047	780358.00173453	359076.963576161	741080.31825037	1382049.13379205	2226595.75463196	129837.152901018	5238239.24198754	6599920.313982	20253.1868324926	2222411.65902655	5076340.85053723
Compound19	Cyclohexylamine	C6 H13 N	NA		82.07858	4.52	3804501.06343137	2407740.85387384	4347576.66502	9163.1175739615	666812.642843673	3468220.18911848	2050175.85311118	3780141.86723258	2679601.56643653	4998110.26300959	2348075.67578036	2407504.17382086	8292377.13401852	3477972.27966452	9371193.73486736	27604.5773373981	2935347.63361769	141702.507539007	21482.3790316363	4607406.90802168	367960.167287452
Compound20	Cyclohexylamine	C6 H13 N	NA		82.0786	5.725	1560275.91142896	4393362.98707227	3800422.96997294	2714512.56891137	853598.573379933	1516053.4672914	1876898.2127423	3903543.97014149	1290071.97690444	5278671.32054204	4206155.65399712	2454460.56419373	2067504.82950871	1694155.16626675	11711664.0521682	9632417.68933147	1440043.34473469	881851.118912827	2024221.18969849	3717686.80195814	8803157.7230793
Compound21	Cyclohexene	C6 H10	NA		82.07862	5.41	7546297.17035796	6650839.84360864	4771468.89478519	345738.694591431	14626410.74283	6500918.96615333	848068.492861233	2630716.68132066	1234985.27236428	3730101.12838163	3368232.2346223	1021937.40180504	13933944.6713728	7330597.30970583	13595226.464516	4514293.46995466	17252912.6434787	3362377.25591616	2337537.54425649	14638155.6448956	3482937.92060284
Compound22	Cyclohexene	C6 H10	NA		82.07864	4.98	3732289.19833073	4434679.60523655	1244444.33671227	24111.0984026458	3261686.03439252	3452342.43524751	808721.876531098	1056965.58176158	1124887.01066998	1767959.2781345	1624558.15337256	1034073.03307639	5272765.4979595	3495639.65379195	7070348.46860588	437189.77262796	24810080.5978087	2271639.06944692	33539.5368008884	4454098.84443113	3370112.58791407
Compound23			NA		82.52905	3.359	1827702.29747125	1057173.82144363	4686329.23825478	1752755.98070023	3526313.36009047	3304587.64359893	1931390.13897879	577505.210933625	3166849.32311261	2489726.25950484	4935238.22276309	2494456.78823527	3259704.66552077	7045559.08261662	148768.32452727	4311422.84988628	4552582.33350154	4145251.89654738	2187765.78784063	243902.890547306	2517977.90655351
Compound24			NA		83.0045	3.322	1398219.51611014	909955.867280726	4309407.72124057	1400775.59447733	3002181.87339413	1999164.04855015	1962089.12996295	424073.263011171	2378416.53490765	2418001.70485482	4020820.89032102	2055292.66992639	2874638.2464542	4485225.28512241	87282.2910565118	3350294.502805	3814203.77290677	3489099.93398301	1528053.80461993	239682.147844377	2224004.00336869
Compound25			NA		83.00899	3.912	125711.33099498	183329.915198512	870670.366444294	5597.82271718849	341836.708325335	231648.527890789	91486.6849352172	48559.8586588273	184778.395146912	485836.614648551	937238.546233506	145544.28504305	81891.2484835748	448787.39837907	21374.6328436646	7171.34458576515	296557.351329377	252921.789821139	16334.6653363039	56288.3251445386	422977.723929428
Compound26	D-(+)-Proline	C5 H9 N O2	NA		83.03734	4.018	12301586.8319005	29729362.7136791	21455816.7946892	10738.0011960693	9237759.04238715	53313645.203182	7804962.57800065	14489065.1314023	9832012.66943579	23931391.9362896	21804113.3333042	18293185.8719581	16316100.430647	9291027.24561759	28541508.1356922	71899.0586190255	19392834.274235	20858761.6652973	8999.2473166062	15454793.5778988	22389257.4607865
Compound27	104680	C4 H5 N O	NA		83.03736	4.429	9334044.07240848	24509163.4208728	16892781.6735163	184566.44741999	6006746.53338303	14169680.8569456	1110486.27918738	3159512.4488078	512814.777456585	15189962.0895219	15503178.5995675	4316359.58562768	16027799.4129331	9130688.85807154	32704256.151838	194273.887980094	2003645.54904705	2562168.55878889	165354.840092811	26015983.245559	23555523.5833651
Compound28			NA		83.95984	3.84	373793.739651319	622281.606507514	378029.310443566	585521.667767771	1639265.37732409	353592.616035333	429048.513596193	873745.699934054	968789.456760693	357854.876273241	649216.917764338	512948.091698417	2851773.7878017	473684.484628214	445788.236019828	367695.387705438	322245.897523177	424938.80025747	311973.94753118	808292.507015117	2027430.34574415
Compound29	UE0050000	C4 H4 O2	NA		84.02147	4.238	3054543.27898414	219235.727286512	1480539.84862223	29383.1894395546	2117354.04784045	2202389.75068057	462933.43788592	2311849.26125934	430759.382979135	641936.445300887	767490.220029451	447976.640920198	645590.610174216	1912166.49198997	137481.015255077	88536.3247064528	1384655.03368065	475019.739266166	59408.8267100936	1549100.85022592	2872908.54556487
Compound30	UE0050000	C4 H4 O2	NA		84.02148	3.768	4340158.1824742	1740488.89960114	2736239.09504195	12277.1188536001	868692.474025738	1299996.74932911	1408393.4801925	2505975.15728697	1126601.64240462	1949866.08522502	2665597.63659644	835283.908656548	1330693.60819659	3771363.12906483	3226397.00117652	13500.8047188138	529307.755922713	361359.389414908	37448.8845135691	668564.390496165	2640714.3318032
Compound31			NA		85.08959	4.445	18496721.7184178	26492546.5185082	30266737.1409708	363279.181725178	34070737.1552245	41769357.0891868	7488432.46089836	12296326.4523314	12276352.6352193	17583577.0749103	22117532.6883227	11241722.127676	32435325.3354966	19381246.8747805	28452653.589916	285351.963715279	34235996.9384567	30377726.1629398	185600.529113854	25843114.8264735	42094721.9134731
Compound32			NA		85.0896	4.9	7863509.34793215	18074559.6730628	22760082.6527702	632840.821357913	36391136.750412	56625331.7901237	7797134.00899615	11734465.714082	8584682.77660003	16887160.2570967	30323804.4213664	9017597.20946027	12020802.8760375	10112157.4547768	17203799.5668028	4131968.81705298	37861239.3673263	93037482.5277704	876258.024548943	10605734.6702242	14615198.945663
Compound33			NA		85.08962	5.206	1620790.9948707	4789920.47457726	4564013.2186662	9258110.69077052	134805351.113651	86721285.4144088	1265438.18085918	1888433.54482992	1666358.74969178	3655519.64600291	6169661.57820914	398298.827022203	1512499.66929945	3699785.53300525	3972143.95921134	8770780.85764689	15229685.3177774	18775305.4759128	2225318.63734348	43905735.4373077	20907363.1275902
Compound34			NA		85.98558	3.342	24986486.1600864	20526720.1709823	67985032.4278435	25279056.0975253	62286344.224733	54261862.3198296	30874019.8347518	7926489.2835853	39928275.4661276	40010716.1448347	58848676.7096072	34342962.6202083	49005767.2927414	71055519.4548667	1492237.74410604	60994436.9121409	62675632.6910767	57925247.3209566	30565320.68745	3485308.52068788	40256372.6773997
Compound35	1,4-Difluoro-1,3-butadiyne	C4 F2	NA		85.99723	35.741	80218.2995969554	91122.3661924092	81579.4283116721	30219.5122776751	66922.8900742638	253333.075205605	83117.4153847921	57601.8503149073	37226.3212544668	54283.7983567057	289282.666311043	7499.88275057585	311234.689419368	646825.474099346	143733.162462024	274963.493247009	54074.0584076958	17959.5782659334	14977.2858000684	84505.6646428628	53168.3415585253
Compound36	Nitroacetonitrile	C2 H2 N2 O2	NA		86.01164	3.798	147505.767006454	86792.2036510088	1221026.40648391	7394.02377462875	295463.809707677	248555.811131433	107341.907330336	82046.3289695248	227329.690583071	630352.003745046	1165966.12829644	178321.554348908	156747.892685292	1896789.31615649	85725.0074970326	13716.8528309735	599116.728045081	158343.718820785	11188.4563535664	64292.4213142904	513445.37362156
Compound37			NA		86.03533	4.345	1369410.9697119	1465662.29054015	1651448.55334967	90256.5262074266	1796891.360287	349111.694953493	483720.611436503	2010572.82534841	667465.404748379	399671.794486526	2156307.02951333	544862.785438413	556703.909939204	2690067.60542752	383753.666085852	157134.399484844	263737.006040748	436455.771731011	98475.7707514091	1689198.69140753	352262.034895283
Compound38	; Biacetyl	; C4 H6 O2	NA	; Other	86.03718	3.865	2091618.90746523	1361483.71157234	2391044.4882687	447521.428139724	6051475.57212285	2742464.44364554	648442.723817996	1572611.72135944	502415.453347754	2838251.59240403	2768212.36339025	474754.220491433	474623.059650232	2500089.45677722	802296.796197002	405040.750871662	965999.935898285	2782770.30149379	1862199.29265569	1565097.30730204	2220298.20179791
Compound39			NA		86.52741	3.917	133926.876147519	235398.022501118	1156158.97738871	2830.3702245995	377459.393550092	410994.528378168	136173.63705623	77767.6302204053	233667.614626485	566732.304185999	1404861.28872785	216195.543972164	122575.609612693	481570.370992708	21718.1948126438	3654.64869874772	379693.066205079	366537.676827814	5085.85876565191	76526.6778210731	508510.403580733
Compound40			NA		86.98672	3.346	2726502.9466086	2292964.5570774	7467333.41148715	2791498.95159452	6297344.98084975	5766725.87639088	3565525.24707264	892521.762239528	4384739.36283719	4094457.13702631	7119678.57841426	3902226.62182331	5451423.23320125	7875155.74110306	182559.134666286	6797826.56344372	6710819.08580879	6568194.32683318	3553041.57535444	382187.435215955	4468565.23538588
Compound41			NA		86.99746	0.577	637419.477889712	28189.9442497689	23887.1074680638	423196.851117847	942485.127648175	14245.8819776323	16269.0534762807	17883.1418415519	499076.305554178	505158.62940813	645687.731735693	27129.9689730152	29131.3765681439	876144.802120384	25389.2877947134	37257.0684191447	20627.1249311214	535033.266467438	20176.4690382994	49238.5081261813	25246.3283226163
Compound42			NA		87.06886	17.575	469720.561563667	1053460.75413735	271956.450235952	475776.485629099	919536.963307203	490775.078436539	261732.199970527	590350.407204134	1012803.43190822	422526.747486044	479448.571001575	444845.057058307	11261040.4023617	258749.952506451	1301633.0591211	607518.911566291	3409654.44914958	374197.554058373	577879.636144545	278945.056444655	147983.236575216
Compound43			NA		87.50223	35.683	31704.2388887279	19656.0382525615	9945.7199602847	61141.8573106497	149614.119678319	237033.409208241	18527.3371360835	14551.4597779487	68532.5823231163	11169.2338156912	22673.3070830831	15222.9093669985	841800.381092391	1592280.57656638	19075.5852975647	695056.624626149	31481.7964207015	29056.650312872	320539.672152163	105688.669626869	30274.2894827524
Compound44		C H N2 O P	NA		87.98302	3.346	2992012.63644969	2452003.88364756	7938343.06494964	3092513.8076846	8456235.6410729	6524724.76771526	3861679.93874719	1098829.60134988	4945487.66798264	4844419.73470449	8204732.25652851	4168964.63989851	5738072.456244	8627308.19233946	218885.133645376	7429511.01879647	7460659.60110579	6604318.06321905	3734953.60837302	395615.03314431	4976265.48672817
Compound45	Pyruvic acid	C3 H4 O3	NA		88.01461	4.258	1010097.35532113	798527.825069843	809158.623827222	65161.1099170394	2658653.32117365	4941934.5456026	126953.740614496	885181.328262559	183212.582376868	646423.430076015	1396319.92015752	182880.31767605	364076.321977945	849020.680997976	3195448.25145654	111204.589036222	479435.562701254	2184818.43032824	70464.8313551928	1584398.3956921	3758168.15606524
Compound46			NA		88.05287	13.245	79677.0562455202	41318.5548010116	32543.348534936	558724.046424936	178898.90045721	78782.8903789018	29688.7766719689	45931.682000423	73383.0194582235	38767.9667535548	72498.8268082281	56412.6751870441	145549.673544965	60694.114319789	128757.963173167	863059.95263136	175003.112863678	64314.8526242035	616245.279926598	124863.248096511	45154.0885156665
Compound47	beta-Alaninamide	C3 H8 N2 O	NA		88.06389	4.412	534852.670724701	441954.273438152	433247.983626673	31528.0449465662	1598184.42072484	426119.575555848	324297.546757831	518314.215685654	471046.263818211	478686.32134701	943141.521303456	383944.508397071	1326327.42045695	542836.674622673	1138567.67088975	50910.3675768402	1922768.53321356	794533.764846429	30920.8970280391	447686.388415212	567713.071128128
Compound48			NA		88.49973	35.898	3091812.70526788	3531752.38142001	3576220.37447298	1388137.96984361	2376919.43021435	4236855.70246471	2117484.51545916	1703981.4591503	1028699.4770486	1907793.03156156	11224322.7401683	2893006.58357052	713972.299876023	28214868.9850756	9786217.32887814	512120.530196868	12787546.1234712	216138.968282894	6709991.62725331	3446017.00841209	497626.275552872
Compound49			NA		88.49984	35.559	520357.010958873	822402.060124939	310774.166131607	577921.627809583	1080780.66829106	1820284.26447311	3284799.9533748	46167.1321972792	820661.793893767	3450539.93719874	2113552.89408802	330909.864099156	8240006.08837357	1822411.58953708	2647030.51095928	707739.76405664	6897198.04005683	3290537.29327351	224171.768473908	1331299.11862551	639151.486339816
Compound50			NA		88.49993	3.145	265985.262118941	84266.0477362045	309914.246494795	112273.507493146	401846.416057532	45450.198749846	37426.8879171315	218898.228854776	48780.661329927	207512.659391817	33465.3920144764	66730.9199590431	466587.625271175	205504.179068838	216464.965638392	159889.300758409	176339.513801214	103787.006757985	110797.673077223	112314.924441034	23172.9624665956
Compound51	Lactamide	C3 H7 N O2	NA	Superpathway of L-lysine degradation;Superpathway of indole-3-acetate conjugate biosynthesis;Arginine, ornithine and proline interconversion;Other	89.04812	3.696	3881622.20208856	6211954.30203633	5524267.85304996	42019.0101388843	2087845.83339962	5883481.5664513	1718513.69728085	3445464.89252879	1638456.82834732	4586250.62499326	4282691.09755211	2550398.71435218	3622197.81154223	4609990.21205024	5432873.17323448	50823.6268156568	2997778.13575179	405274.126668952	54776.4165580783	3336050.51984878	4974599.78365394
Compound52	Lactamide	C3 H7 N O2	NA		89.04813	4.068	4203170.9380667	1759846.72107801	5304424.18693119	17766.6012481865	9516328.7516759	14619800.0641927	412066.746257964	3214287.28684886	692067.311916499	2673888.6531069	3234283.56502449	931173.873845162	380616.458102568	875197.651159852	1363861.1464955	60901.2278264872	2825451.99389754	3571552.57345837	29537.1534430251	7548807.68069227	290785.995065117
Compound53	L-(+)-Lactic acid	C3 H6 O3	NA		90.03008	5.489	520105.517218851	12806544.8944384	8803752.04853578	149091.370538565	5659257.73470567	10984582.4054433	4247502.43057387	3230846.33183348	1731579.80212561	6654855.32036296	34979169.9798904	773869.993275396	3358520.59191632	17663248.7275405	1714871.79879965	1112478.5369152	1491841.4009866	3101571.42900691	321920.281451634	11624808.9561056	4926520.19141265
Compound54	L-(+)-Lactic acid	C3 H6 O3	NA		90.0301	4.341	2848906.06409125	13981822.441734	13435902.0672982	159098.180467669	14649809.3342701	9204478.63975124	4980834.50126639	11074834.7179956	4050278.85227025	11405322.8493442	20371495.3707333	1896817.97731667	6017328.03098393	14110841.0862074	3655925.0234602	208942.81056947	8589725.42486414	9624666.15358328	186408.745263276	15473130.6171058	23422686.9317476
Compound55	L-(+)-Lactic acid	C3 H6 O3	NA		90.03011	4.698	545895.454000412	11404157.2709414	15249606.0216375	97484.4511985192	4575712.4649386	6491997.77308963	7710886.57631729	1721128.22262146	3554342.91463231	7032068.19635498	22156482.6674763	3315364.94626352	4693641.62399125	6243392.32153456	2445707.05481104	943837.583456468	8974958.31982513	5796968.13762943	242258.211623557	7588418.72793092	16764574.2085565
Compound56	L-(+)-Lactic acid	C3 H6 O3	NA		90.03011	5.173	696467.76948341	2933776.97513936	3812464.98761853	241880.982785228	6649000.8580442	12966099.2236909	973325.563393084	2340307.61667862	1023176.40519946	2197999.16992797	5860086.04639044	573196.33209516	3309173.22461218	17663248.7275405	1675099.76304165	1104303.72774208	3646792.15217508	2637624.07321012	68767.1710552601	7619527.53301171	49856352.727795
Compound57	L-(+)-Lactic acid	C3 H6 O3	NA		90.03012	4.931	536374.113042727	3878976.19116311	7827943.80357904	45263.7705713631	7143746.51407002	12966099.2236909	4505904.73433978	5202051.60748687	2437099.52396121	5786751.78822911	11090123.4443195	1334370.62546517	2112223.70323812	6243392.32153456	1373538.10282844	645174.797899994	9533957.13000921	2965191.68911246	67457.8864351892	8140065.34767909	10149533.8095554
Compound58			NA		90.03015	3.71	7406772.12513348	4508934.78367577	5715489.93378308	1945840.47246343	27194985.7339098	11605258.6413315	842853.715758612	6552135.64119794	2158078.93008659	5625435.82353014	11652541.757971	830876.911814259	2369689.51896432	14179282.4326437	4709799.13751954	2325608.29072675	2938646.478392	7509973.53443601	7731182.93547547	8756702.68389355	9803715.04520497
Compound59			NA		90.03797	3.332	700150.182961467	673636.990274707	1618939.57551379	1173361.49870126	2028721.55115843	1290852.0060616	824739.910555925	317253.5664263	1000737.67973508	894638.485494497	1398388.95424336	578565.756598377	1543672.24552655	2277923.18480384	61770.4053194784	2807934.49593272	4434275.73455475	2888629.28108668	1282904.3335702	130969.890873031	992755.979237573
Compound60			NA		91.03436	5.169	57130.8143135994	128308.137771146	261448.382907365	25783.869395826	209627.87722533	412949.602333068	96995.1033630897	16276.5576611465	38546.5360197433	70328.976762732	176912.496132257	29005.2311493544	76486.3081839105	138677.465405799	62339.992538057	47944.2835015604	231832.192335921	196088.149444075	30613.4555371946	876674.738936181	612716.456613848
Compound61		C3 H5 F S	NA		92.00938	3.613	26017.9751415646	17279.1614089827	13483.0773507601	755461.793315965	79303.0659937708	20771.022064767	20038.527301614	28200.5533616727	20164.0191653691	13942.5505351884	20065.0152787409	14209.0378200857	31725.4796749114	24766.0190209575	32357.4162532344	5142520.71431936	12907.6508859927	11694.3808064709	710761.11457188	20601.9668040445	18246.2492169753
Compound62			NA		94.95811	4.129	7201.11943806804	7223.70919743832	6241.54850724863	995475.357185279	644963.980255338	14838.1441944709	5111.43053401626	8743.16486699132	5825.3913229934	6325.05134335043	9589.78274204321	4034.80923462549	12502.4556007697	10184.755743536	11035.8670207673	141913.290771439	12522.2283429742	106859.963407517	563154.368881664	45230.1195770627	9352.76433647911
Compound63			NA		95.02367	3.571	48831.586355097	85353.7706817792	36961.4276228669	11214570.039869	2183342.13827255	177357.466898605	25721.0594787109	63830.502139001	46183.3929413668	197624.437940377	121113.778951134	74385.8470012901	310577.569631432	133827.516521859	135877.79640234	8340912.82651987	1184635.10270021	663708.188434528	11118118.3254292	544159.642416519	80003.1761524557
Compound64			NA		95.91491	3.578	1128877.70115122	2128670.13697106	312735.952885624	575362.174103807	613394.487227383	459137.524714127	1476108.54000196	3495467.24759465	1181829.02327463	458295.720765533	446485.411620253	802563.167215054	1424599.36303411	1081739.33909258	4776710.59978532	947348.439363068	640328.142292744	622033.156568451	1022289.52911406	1626651.40479379	972401.934644257
Compound65	Furfural	C5 H4 O2	NA		96.02146	4.229	1088853.30464241	174071.348559576	568955.925398684	30476.0385593172	982058.622621225	578288.395195021	443316.226828406	567068.905414529	300084.280878525	463219.157253854	675969.874504443	461875.056864047	739882.331087741	2139707.73660754	283135.13280181	34383.147800824	1700280.31508514	212222.78977948	25740.3181101025	274920.221876991	1230877.0793818
Compound66	pyran-4-one	C5 H4 O2	NA		96.02148	3.805	2089726.90949077	358726.387968834	776203.44218366	9442.90626979056	222064.325508467	220096.018849671	528729.318355013	1038262.26374423	434101.563594146	733945.811767146	849249.402521399	350535.962729946	724565.079042573	2211815.24050433	35719.3014421132	6847.02817369202	180488.198698267	44363.8201410495	27505.0195198901	58321.3706721283	861218.711841387
Compound67	1-cyanopyrrolidine	C5 H8 N2	NA		96.0689	4.445	700730.712204226	365450.772130319	424967.068389959	20864.7986336563	1500223.58666518	1250025.30161593	284223.207931612	735379.606056306	202965.386694559	786908.825699688	1013150.21489291	260086.164641545	712345.677867236	798680.33173937	585763.01891154	80788.8102150955	1172981.14070178	612465.220469975	26105.9226168545	620630.377143722	984064.582991414
Compound68			NA		96.50744	35.795	417381.681022326	306105.702212133	13871.8030094746	156658.845271094	27846.0697973548	508984.325210659	264287.234415331	234370.074367341	143407.152832732	288521.348992865	1239523.32567053	322259.151399227	1603519.59674751	2212451.91059014	523521.432725048	53864.3942983298	44134.9284405019	31647.9143586408	738216.574599457	16866.1811573772	35228.3139648823
Compound69			NA		96.50749	0.541	331851.459632227	446896.237640494	346738.025048605	196373.796668034	297861.364287663	898265.116986557	208654.522219082	1966702.26220881	345972.653118086	330715.559239955	292766.952110973	188642.344594211	800707.398459618	450564.136026162	671716.371288072	361172.114913234	278082.316827058	148677.919389528	193908.022113991	328972.092823155	229100.325172829
Compound70			NA		97.02076	3.548	110192.420505926	73609.6261559322	28735.161092512	7364402.37549153	1360873.94547444	148370.133936949	38068.2882348009	58202.2652921197	56219.1170008203	86708.2085098514	66475.6054912911	56887.971392493	257418.117698534	82513.0767561778	104863.034929062	5829665.78124834	272110.608095396	424092.841632979	7869875.80549409	383094.593849567	72425.4185348935
