Name	Assigned Name	Formula	KEGG Pathways	Metabolika Pathways	Molecular Weight	RT [min]	Area: A7-SI-GenX.raw (F1)	Area: A9-SI-GenX.raw (F3)	Area: B8-SI-micro-metlab.raw (F7)	Area: B10-SI-micro-RNA.raw (F9)	Area: B12-SI-micro-metlab.raw (F10)	Area: D7-SI-GenX.raw (F15)	Area: D9-SI-GenX.raw (F17)	Area: B7-SI-GenX.raw (F6)	Area: B9-SI-GenX.raw (F8)	Area: D8-SI-micro-metlab.raw (F16)	Area: D10-SI-micro-metlab.raw (F18)	Area: D12-SI-micro-DNA.raw (F19)	Area: A8-SI-micro-DNA.raw (F2)	Area: A10-SI-micro-DNA.raw (F4)	Area: A12-SI-micro-RNA.raw (F5)	Area: C8-SI-micro-DNA.raw (F12)	Area: C10-SI-micro-RNA.raw (F13)	Area: C12-SI-micro-metlab.raw (F14)
Compound11			NA	NA	78.53001	3.006	5190.72566151015	7954.87347586106	326708.94793764	229362.969363966	226482.210885159	2789.10335020849	4269.01963825175	3311.90838716799	2335.35065270068	12811.0260556153	88116.7067060711	8436.75720530246	238168.220270164	130150.061920169	225216.041203247	87491.4877869659	59642.4108411828	40872.6282723156
Compound12			NA	NA	79.52528	3.589	17750.4744490224	16379.538971728	624760.405253398	537559.975834585	37117.5374055337	15578.5183809482	11189.8038220456	18042.8747547398	15313.7704175654	63324.6173128416	88006.3041229941	39060.8068554449	39500.1981343409	121217.981295882	749801.174078382	217869.323754401	226293.972458286	58481.5127900039
Compound13			NA	NA	81.00703	3.074	178747.516525439	254126.010027482	13729652.816612	7096530.02607196	12458561.3064193	9852.75240011416	103706.930141471	87055.099053954	18229.4750144488	403767.65428607	2954367.03705423	147550.978057456	10313170.1477727	3989848.440346	13475386.1643753	3825315.63571193	2357875.17753695	1229621.09379582
Compound14			NA	NA	81.53031	3.001	288861.596589938	352965.371457431	18772640.3725597	11211130.5029054	14179326.2321329	6051.03410475277	161937.024930713	116467.423407038	25255.2149983918	617543.757518153	4631755.08323199	181372.738794642	15097284.9662131	7764211.23981535	20026111.6053006	4650407.07690831	3513379.7726217	1866156.3357971
Compound15			NA	NA	81.53034	4.26	42312.9310452701	37409.8060722831	2617422.99304131	2679949.0365354	3953868.48975883	24679.4766144023	22595.1513075461	26001.5893402346	18402.7424043519	152463.271990086	726385.93588864	150683.5741116	995033.642028113	819039.489358056	4888347.12040023	1248370.85374574	671157.778661134	518048.385351583
Compound16			NA	NA	83.00887	3.661	10261.7255207201	8651.38919403719	470223.168004439	114860.219146994	265638.49198892	7757.82780769472	6349.20127133691	8830.21106689344	7022.92713824602	60509.5255342416	70334.2542441386	20663.1566887564	369165.923969155	144801.745810171	200225.304895693	53644.3942451352	32464.1144479887	32143.7216757514
Compound17			NA	NA	83.9598	3.71	236878.253697473	513268.2547419	154991.247488984	470859.309278927	269555.444791628	283459.574108073	86338.3013690918	59229.2830574096	122618.602067348	242420.735621333	132852.666015423	793856.494116901	182867.891299213	277452.184160508	256962.035806607	221056.274892706	248315.408324469	376370.992353959
Compound18			NA	NA	83.95982	4.149	41724.1545327021	78908.3245690302	78640.5172181648	48303.3420270813	64624.7542809128	34125.2324783346	15633.0389948979	18397.7115430748	6259.07358812061	875224.43044008	33978.3848329923	316161.361805754	108541.741970419	552092.872432611	45402.6157479059	36743.7298170794	67222.538670016	27773.9873856799
Compound19	LU3453000	C4 H4 O2	NA	NA	84.02147	3.892	103761.037401355	89548.007112408	108742.659582772	2135850.07912714	413665.994591789	125129.867191363	28117.7693019137	85441.8109639448	115386.912399484	228917.223739606	2280419.60806993	550896.151666394	241650.501784758	525232.547510676	308287.833296583	485496.892057178	549246.773282531	722050.574509435
Compound20			NA	NA	85.06848	4.582	33969.5204278404	177529.904642827	585297.487086205	310384.86929812	492274.593891559	58304.9169107208	109682.192059157	118615.362610298	73599.3600001867	948305.940610813	299923.900194164	657068.110885913	368564.884076052	600239.090701638	355027.764830547	225808.57392489	820564.624219097	296761.617575368
Compound21			NA	NA	85.06853	5.397	302255.145488763	204472.882020599	21180.0026810438	69648.6608605578	227781.583876489	47959.3749144433	48986.1085312424	108966.3560502	71905.2833571333	38980.5505171239	173652.003930236	103423.272299557	360863.732885285	482357.626355656	113988.237218073	175747.688370082	194364.491836652	101026.374906195
Compound22	2908	C5 H11 N	NA	NA	85.08957	4.171	27582688.6232697	10745516.000721	34078462.5778169	27852202.8530067	43483231.255221	9221610.86363848	9264757.90100877	10780449.2819293	6889950.7515149	75450461.8913445	28053532.8982099	74301635.493398	35136731.5000678	74468415.56301	27810940.9435409	48503376.5993334	33865551.635823	36720627.7200232
Compound23	2908	C5 H11 N	NA	NA	85.0896	4.616	55296434.3452931	31844874.7621736	27596408.8665346	17513224.8475398	78237514.2396015	25800238.5931575	7162861.23669874	19728959.989798	18425945.444479	28180866.6626391	19887227.6287034	105561732.985241	35574744.1811279	61731983.3202117	24091147.2231903	72698050.3533642	45590572.1911987	48034290.9807546
Compound24			NA	NA	85.98597	3.092	262865.535647412	652051.687635326	33401648.4620915	13705396.819658	21446166.9137487	16931.0542684372	238153.308968632	202637.592840319	40696.8915994092	666246.717187002	7838329.75480636	244583.481584517	26412441.4570941	8445968.7821103	34631857.9054268	8486441.89642219	5774340.23450645	3120510.03184884
Compound25	Biacetyl; 	C4 H6 O2; 	NA	NA	86.03721	3.602	223483.246128299	427284.612637264	906682.948438633	708536.652863777	744091.840081622	413729.294539965	286387.417096345	424737.363805496	342097.126402687	1182563.89408738	3592810.7031504	266959.840996519	1588213.85797167	1839977.89033052	591644.290649802	484353.218446657	797530.307287892	666869.037081468
Compound26			NA	NA	86.98633	3.081	49320.8891693618	68862.1007118658	3774356.27613859	1524543.4723347	2404320.61407868	5308.30493708338	27125.7752729619	22565.9356006564	4147.45786116925	119769.528071017	829977.922793152	37961.449073725	2815893.41222019	1012178.43604198	3735943.4462837	987946.780166019	582253.925251292	249342.102044946
Compound27	DL-Homoserine	C4 H9 N O3	NA	NA	87.03217	3.921	515598.420004888	184713.302533855	4178656.09687885	1741751.26483742	3843345.54802457	305990.587936207	351056.920951147	356127.279409511	117122.524422388	8860047.28951267	1310467.12171303	11603447.99213	2291525.52771587	10438616.1181062	1317796.02939325	2227384.31282917	2002990.93808518	3855249.49210523
Compound28	oxazolidinone	C3 H5 N O2	NA	NA	87.03217	4.451	1679717.7552063	676930.634426477	7676579.49052159	3125145.03740589	6593454.6617504	310856.670340722	345454.479365906	649999.341683648	361340.780032571	20228023.9132961	2316502.92353331	11695949.615478	3839060.1672226	10530360.9390874	4098529.49362308	4262835.49079345	3758314.51522858	4903066.76873717
Compound29			NA	NA	87.50224	0.438	90879.2928327476	50233.7195335693	90275.5179206719	1750497.68738229	117714.584790464	670626.115966745	69172.2902737145	39108.3683716204	33356.5403271713	232110.060468617	1271221.94120905	166254.589216498	1200319.21519759	164025.615160651	68741.9555196498	1242268.5496537	202193.4619653	223323.442213175
Compound30			NA	NA	87.514	3.601	33787.4450961359	29365.214296756	239628.499783457	123272.110580498	70652.0133191321	29367.0590422832	21299.4240441117	34344.0194741277	29149.259006247	119987.021510494	106025.722642068	70485.3670753276	75187.3297574895	130768.298970764	437845.474635369	129792.155775557	96025.4989083812	50449.0100329386
Compound31	Pyruvic acid	C3 H4 O3	NA	NA	88.01444	4.01	259309.285636127	449125.538754343	870943.844212951	233739.136216291	1543938.19727874	226419.45531705	261968.876106998	130810.225117666	217298.605301982	49870.4937328013	264021.192943425	111943.199126364	1030097.60204231	333017.808237954	358089.853292422	210536.27859323	158490.485689319	14065.6135251903
Compound32	Pyruvic acid	C3 H4 O3	NA	NA	88.0145	3.605	81832.5337089177	82320.4074515029	357125.638625027	275309.689265151	716717.24338537	222646.791617728	79920.5140216903	59742.8194504508	287015.87723499	213210.245295772	1606971.55189313	279427.697413656	579756.379447721	564570.022926014	327619.546573253	237674.869699647	329508.181213938	354372.49917688
Compound33	Lactamide; DL-Alanine	C3 H7 N O2	NA	NA	89.04808	3.506	4062983.09427164	2366662.45705379	9113807.49890382	5318526.44433077	7795709.36063846	813747.340748589	1134732.29182911	1859272.62280637	1126048.10467228	19658531.2402672	4750709.0310696	12496819.856756	12546198.5675593	17625554.4245514	7139743.73218577	10503618.2685509	6086477.34399033	4871527.83833501
Compound34	Lactamide; 	C3 H7 N O2; 	NA	NA	89.0488	3.938	2340353.65478512	1672684.77679533	5905451.10051581	5066817.64253441	5483207.81365982	1486549.51680362	697841.710262435	1250474.61125889	869325.155317459	14029382.0313615	3739796.92457569	9819926.08779736	4389599.45091864	12981381.9252924	1890091.87296781	3013717.09247039	4842565.48115037	4918574.21643303
Compound35			NA	NA	89.96981	3.165	3121621.19315466	1974790.20647143	700486.892850382	4451565.48388371	2455108.6216907	1830873.08611786	1418668.70562173	1460029.17613968	1379757.09318749	3405018.58594916	3204046.66256023	2818359.49678257	701887.310229373	1823271.34048148	1006012.49359597	3817079.00652107	3884653.50749056	7886475.28235536
Compound36	L-(+)-Lactic acid	C3 H6 O3	NA	NA	90.03006	5.504	18778888.4641583	36363857.4389984	59066095.2521317	14937535.3996109	22551309.4920556	5771767.25230035	19641344.0354735	9225717.69040744	7325298.15112344	22415969.5246039	5580856.1329225	1423831.46267797	69365747.9233793	70011866.2301451	9133971.10062669	31946412.0048376	1641186.00592631	4326617.29201404
Compound37	L-(+)-Lactic acid	C3 H6 O3	NA	NA	90.03008	4.233	18515783.5829466	55685625.8141623	68212522.7581553	28750511.7962246	38691046.7965561	23432603.526293	16362049.9534121	17421207.6202836	10805922.7399848	88698158.9614897	10880233.3063555	5723058.1278611	181774059.565526	75303481.704786	10224481.0438736	35598883.904221	14062916.5609727	8710304.47432819
Compound38	L-(+)-Lactic acid	C3 H6 O3	NA	NA	90.03009	4.691	22647880.7365142	2344256.76529337	71481071.0842569	34865552.4578328	53905303.4704005	1244674.63497067	1291020.9090065	11869833.3226474	4942040.90152293	10211292.3161261	9340953.41314586	5979758.56734852	8744460.90340585	31653805.2804244	13954396.1376125	48663346.7191736	2416196.76121509	12475656.8341937
Compound39			NA	NA	90.03011	3.56	285413.338979373	531497.454102419	2281435.87808022	2979697.99797508	3093525.16949712	1510541.83512113	410220.326146643	1118443.77258607	1403682.2273527	2100593.41970153	13239333.9207852	1304017.95094563	3385798.51404222	2767777.97991171	1276425.98931811	1657875.84167472	1216310.05810535	1358821.88959661
Compound40			NA	NA	90.53547	3.085	5941.52701751595	6657.69748234271	288321.081975937	199606.343272294	206551.160886688	3028.94233288772	2781.58211069846	3493.36583563068	2285.94056450685	13786.8453536575	88203.9604810879	13404.2394538401	251088.605066175	137222.140235038	294023.354859859	98415.893826184	64616.7747908271	37699.5005553348
Compound41			NA	NA	91.03311	3.624	17913.5050130953	15440.2319659838	320443.401678707	406998.370229952	38864.1239192437	15569.8946125397	11292.577414617	17439.4801245189	15454.4208906798	93860.2649982519	84625.6616001024	37370.0933249357	39862.9906670887	74111.0457889306	575181.586105776	171206.992047019	74699.1019299157	31580.3480863943
Compound42			NA	NA	95.9149	3.312	1336946.58812439	876801.997623321	650140.549473069	1145642.04287164	777852.775989813	799072.395065398	583164.635116111	565391.312752744	884176.709497384	1539845.2912758	816971.038625487	284755.29933199	663591.953648045	918921.398457884	738009.069505952	1272551.82154358	875806.388610047	1402558.64925948
Compound43			NA	NA	96.50748	35.627	8588.59476977279	43633.9357069966	89135.4717384824	171087.232776569	1002998.41518665	49413.1543528541	38927.6148434405	6554.71672804156	45870.1858986463	67575.9673595492	338164.071088285	1633532.39182639	82781.2564652705	172614.062724483	74957.3010607671	114661.22287601	7461.82436646778	178269.302599528
Compound44	Maleimide	C4 H3 N O2	NA	NA	97.01686	3.585	16712.4245101607	13454.1875648119	128015.355862929	57812.7270944945	31234.4401159974	14074.147622639	9188.31788639799	16270.182460909	13375.5469670515	59058.4448159211	47174.2635897463	33820.8832571407	37190.2216671691	63731.22986508	204612.152405095	68285.0820847326	60891.9177882763	23830.7101183412
Compound45			NA	NA	97.96587	4.195	105577.015100719	104609.909042334	596845.028733385	193828.622895422	358820.071059429	52019.7944500541	68218.965328248	101155.519893652	53796.8998459779	1281558.796021	379439.512527992	243032.301749299	493142.511493885	1426042.33671323	209111.179873585	160488.561592836	138457.468347861	188195.253840165
Compound46			NA	NA	97.97529	3.311	1257063.64768526	1506133.76351874	1478112.99583454	301355.145744945	2214405.97503511	634321.365133632	522979.477863383	386103.979267378	760103.37993668	1591657.22602548	2302894.14191623	118796.221893541	1489579.77112234	1890222.00366233	786268.084754547	614652.057807599	1051052.60497592	336255.69623713
Compound47			NA	NA	98.00523	35.579	41621.1069997963	67722.5871467215	18207.5638715024	53524.6984117099	427686.223983478	6611.29513428623	14187.3296789336	9303.15638888488	18216.2566246015	967597.564830362	14615.1831604592	73740.8074362294	20794.0390043942	58196.7900187498	29777.5173026069	13527.9238412655	35057.6609110182	60141.1265875725
Compound48			NA	NA	98.97277	3.24	5813.29194687718	6147.89358390732	284173.99026858	201849.949750662	154880.487843448	3132.22261727892	2687.86562705353	3323.58345400426	2502.28456453881	17162.1580263986	48087.1506122431	15291.708151553	231764.020038993	75595.0745339541	436265.981251504	60657.6277244586	42111.9126046527	12899.669978148
Compound49			NA	NA	99.01751	3.055	261473.624671559	360826.860288823	19136893.5375003	10580903.0556785	16260674.3138688	9541.36129848043	154693.315900301	123977.246609134	23574.852542792	645628.283489148	4433295.39134088	167768.310893642	14511548.8316809	3521037.50162083	19155126.9142026	5287475.60994202	3451480.95816471	1793563.39869359
Compound50			NA	NA	99.95478	4.75	53649.3855885133	117642.490706911	54775.0534073622	73951.9315505756	410912.558080319	38862.8158900792	23772.5692098145	45418.3077525144	52867.0698776932	131568.338229341	34284.1281174435	870765.2810114	110175.963159121	541121.425843216	73334.8663232117	115759.677643028	79600.0619589248	31233.4920853864
Compound51			NA	NA	99.95479	4.296	48466.8872396273	113688.251049712	68078.0068415727	22076.4142325867	264345.084609493	26051.3357345826	41768.1178425691	87910.3743556592	56656.8561643354	79730.2454169536	26306.3990358848	563877.048670401	62857.5851517846	359709.99476066	48118.1165045802	56398.6709532304	41775.5458850238	14654.7515800401
Compound52			NA	NA	100.01832	3.071	30189.4771827465	41953.4663166498	2420401.57343277	1378689.17039217	1579785.22918149	5840.3396501268	15390.2381381707	14062.0587014606	4407.70006472667	81938.588959532	550264.138711499	21252.2956940674	1922790.50574478	537420.217907924	2362784.76218391	578233.70309323	412268.937895374	216571.874364842
Compound53			NA	NA	101.01507	3.057	34003.9031236323	48533.625231811	2595119.78338512	1567674.32943341	1803988.35626118	4280.08492494009	19655.3630306177	16662.4047151238	4239.26995433469	66182.9749681056	586165.181304933	31377.2050254699	2031340.60960614	606765.916553486	2843887.61730495	732396.961568992	511762.970969063	246310.296980017
Compound54			NA	NA	101.04616	4.202	158591.929894744	140701.252349953	771669.066307854	420086.511282335	504945.908855796	73679.3622254844	88018.6308811651	140904.950172272	42745.5613208609	884011.409506133	204283.11961322	131401.369262693	521781.236498408	1532826.04509008	202906.095488209	320613.12187081	199634.180777297	104744.198031319
Compound55	(Z)-dehydrobutyrine	C4 H7 N O2	NA	NA	101.04791	3.928	770778.324672259	526256.895017433	2134390.43259818	1351553.45385754	2875406.58129428	337442.840453765	419451.128122859	586949.5071186	455085.819607844	4820400.34162586	2408193.35325214	7265598.07537414	4381942.84056864	9960809.54441041	1279983.16060243	3328197.25066339	2772179.82990284	2131153.1543537
Compound56	2-Amino-3-butenoic acid	C4 H7 N O2	NA	NA	101.04807	3.51	718591.916462571	404518.914452632	3328147.9979829	2197117.53017633	3203793.36571026	131172.147713655	127757.969538458	290136.601590329	118071.11163683	7882539.75046348	1029319.46902795	10870973.2214661	2500140.83087963	9126968.79176417	1896083.94097654	3157045.75729529	2514988.27384602	2594367.17800435
Compound57	(Z)-dehydrobutyrine	C4 H7 N O2	NA	NA	101.04807	4.472	626905.375385425	869203.551662339	3850565.74674509	1971864.37515548	3481469.12023994	448597.724969372	480707.716028625	698159.267686424	496978.067812949	5992135.64232814	1349650.05615449	9114213.77555734	1749760.62906862	9421094.5511211	2855560.05902677	2956762.36929769	1494660.30042634	2920553.66158858
Compound58			NA	NA	102.03021	3.594	805312.702990292	1381424.61263077	5625494.68324248	7148488.78501771	5979829.0161845	5179169.73282303	2059013.49488604	5978678.73274868	5988430.62924306	4572444.22192073	41937117.5989578	704362.137195829	16927051.4772602	5507795.48416221	4778120.20147562	4879656.46045265	4727609.26790262	4131011.10036636
Compound59	2-Oxobutyric acid	C4 H6 O3	NA	NA	102.03184	3.943	298870.557027928	190426.857483462	3977324.18470094	1755945.44656644	3955342.89905812	467109.185243342	368096.041909691	375710.432949709	150580.602109342	7779248.51488462	1109283.34804757	10065274.2366618	2393408.96380642	10391998.6649126	1396405.28183086	2226785.22950134	2059523.84386707	2252781.75035257
Compound60		C8 H6	NA	NA	102.04708	10.702	236182569.349876	192598546.674663	417825762.229119	116299557.953887	177375383.894972	104534751.922708	163718611.44844	154998469.078098	81660972.1664031	621155582.558205	350093954.98585	183763568.898362	325693822.240319	547644937.445324	197343992.632933	236386061.711584	115633836.012632	86484122.3831591
Compound61		C8 H6	NA	NA	102.04709	4.184	5890921.10992518	4381902.63318719	25655409.1100916	6432203.143531	12308715.4868823	3094244.34537035	2961315.1835972	4366677.88104832	3203011.68666394	31800314.3450919	9359104.59176883	19877457.975005	18751144.1819207	58780113.5840194	7038096.38522847	11271569.8815676	12547072.2624093	11208093.6426987
Compound62		C8 H6	NA	NA	102.04709	4.673	14252271.2186028	14506204.8288377	17702838.2795606	4587319.96829026	14620335.6116896	15902151.0613585	4456580.75277457	20115850.5645203	3701799.64660374	50480427.8924139	14857879.4698074	51761721.5966024	164632585.721974	184181525.402521	15373583.1133049	19271323.7304843	9033029.03883037	7398724.12314567
Compound63	N-Nitrosodiethylamine	C4 H10 N2 O	NA	NA	102.07951	3.418	18661.3347402754	20412.649347511	48238.9920001265	131994.04570739	174748.825262589	24449.0149452473	35767.2529940602	22354.5690869285	23055.8028712875	76320.2491296998	188004.977855353	47076.9605394852	45526.9437975306	85197.4811635089	103849.272262906	174608.443829005	266212.478602183	57558.7703759109
Compound64			NA	NA	103.0109	3.226	4303.12902946655	3306.51104257898	356877.40320255	23336.0107872739	718032.13332092	2318.54140379187	1989.61839741983	2460.19098532686	1852.24713433449	12703.8141360439	7493.99696868782	11319.2652043609	354625.737264248	126823.882126322	89544.2089130941	28076.7221219381	10955.8316684664	9040.98359049609
Compound65	2-Methylthiazolidine	C4 H9 N S	NA	NA	103.04584	5.371	2739433.34258298	1246491.10591268	4599796.57045263	661678.19809146	4426805.89831522	639146.583978688	658738.760607576	2041039.44094297	910340.327352449	6936994.39577697	1356601.04627723	1793677.54986745	6110029.90718951	8704633.92537932	2454645.01318313	3775249.34360378	1020135.73558192	556990.578831175
Compound66	2-Methylthiazolidine	C4 H9 N S	NA	NA	103.04586	4.152	880866.258121721	852725.773647241	1281207.06267697	943237.270598335	2063940.50875418	365624.897712218	330303.140529487	826024.636620608	222944.747760291	8713432.84069125	835995.489661217	3942921.52092765	3278262.75359107	6639924.64622111	1299437.78743846	1715457.66578801	1298259.71079287	612413.122142746
Compound67	N-Ethylglycine; gamma-Aminobutyric acid	C4 H9 N O2	NA	NA	103.06352	3.594	262491.782780955	157445.398950919	473419.452026675	698736.94302849	797344.390722011	86585.1899412853	125935.265034427	281137.880933326	120655.000023126	1174301.8467679	520095.631679023	1112013.8818867	654250.554046093	1579818.84299743	328761.538081672	518091.641952622	455059.602693088	419479.176216294
Compound68	Choline	C5 H13 N O	NA	NA	103.09994	4.459	56240261.5011437	60698540.8984939	92554118.9847045	74917420.3827769	75218364.0133468	52354080.5373918	42331419.5607517	49684174.046108	48473818.5059803	76352543.4523819	102939781.132351	66206276.5556277	60453611.4207022	156890057.87632	44333200.2601512	80648348.1308099	48154524.0785643	20944498.6033023
Compound69	Choline	C5 H13 N O	NA	NA	103.09997	3.606	74809385.457934	102892421.846342	94777030.625433	125977062.269032	89056621.1838045	62156146.3586706	54453952.4765903	70763168.7577424	57368372.9182068	315277254.500013	147446947.425253	113022247.770425	114192617.065783	190686962.208694	65840505.9508243	108820834.01295	104131746.764555	76830350.389248
Compound70	Choline	C5 H13 N O	NA	NA	103.09997	3.913	58316676.4169037	11588940.2102179	85938128.9245919	85503643.6577016	61362683.6826369	8366763.6015771	7747135.43796543	10907032.6671827	4731685.86187201	258981529.737105	119192593.693381	67480049.8262203	116596189.378211	181568242.73681	9914745.46176034	74464461.7606405	72683752.6213143	7004475.93412146
Compound71			NA	NA	103.9626	3.279	2465099.39530046	1826545.08478665	2017045.25797856	4072998.20597345	2276095.71397227	1817303.4472941	1906213.69031582	1220112.45404556	1098489.55768235	4115481.66115048	3483366.67879127	1822374.86470015	1729537.21906525	2588010.82279835	1379151.78024699	4311017.93643917	3713092.46231567	4808549.19972265
Compound72			NA	NA	103.96263	4.396	361036.886290122	170917.254561842	74679.4696570174	373648.862370056	356850.965408112	352497.643073533	222081.845652904	212403.823292983	227993.09584136	348606.191507025	419141.820623372	352370.706892288	54688.9638922847	163261.034019048	244615.403707542	365439.64040064	231184.70941341	467643.301342456
Compound73			NA	NA	103.96268	3.687	1056502.92133168	932434.301100562	682876.537747975	220644.744563405	1146528.27727408	453387.12732674	900179.847623677	652044.66554884	326817.578870587	393246.900170756	614188.873325387	978346.651489759	454975.529780384	497885.633865862	324956.886366626	694325.59068571	240169.211621583	1189908.58428224
Compound74			NA	NA	103.99633	3.085	37493.5659983852	62521.0270171602	3676136.2626624	1380542.75848419	1970071.43762222	7365.94944694035	17737.6894878869	20738.0261580923	5496.60517239578	81498.1721555487	783097.083653288	37887.9431556434	2755090.40870448	979494.111540875	3267525.89386288	674647.768031554	629588.916613261	362755.825338035
Compound75	; D-Serine	; C3 H7 N O3	NA	NA	105.04264	3.482	4961381.71035486	1666386.05185442	9866788.18153192	5958005.67188459	10428387.2027497	1306819.41768827	1206835.53593276	2020720.75024899	1285607.01263764	25674212.4829927	8280509.74443425	30670716.138868	12726575.5835504	25245290.6151854	6770534.86962425	8608732.75816067	6663622.80478022	6491031.37451903
Compound76	D-Serine; 	C3 H7 N O3; 	NA	NA	105.0427	4.046	834761.563972007	391346.532436832	4830283.5932334	3165782.54166692	4327101.61965126	831238.269068654	409903.275900554	200083.516942953	524223.258816	9708851.38740445	4672388.16310472	15355212.520501	4049297.57198734	11406138.1394786	4562518.32870107	5291315.7719769	3870733.21459683	4366858.67197649
Compound77	D-Serine	C3 H7 N O3	NA	NA	105.04283	4.446	212377.563684038	110322.248949099	1888384.3941686	1198230.34621904	1803551.91020135	297294.490988281	188012.556926188	151892.636701356	210291.523138478	4078910.81530836	1255709.70420731	4997118.67010154	1000970.63805317	2484134.22413525	1625140.10739745	2469947.15413051	946363.585610697	2605770.95383786
Compound78			NA	NA	105.94361	3.181	107524.332790788	71356.7126822562	58152.0140376249	213036.858195338	148258.502651948	59672.6787768675	43417.5774819472	54535.5307722672	54493.0327565585	639614.8471295	224092.993536932	504714.506473445	76859.8253239835	294361.544670954	47087.2320056954	421699.560133545	313333.217107946	670760.401817184
Compound79			NA	NA	105.96572	3.264	6708.40953269581	4908.53939916027	219681.540680043	149509.73158585	133955.004373755	3921.39328476029	3355.31912748282	3174.40418202575	2710.51884305724	14893.4222286693	48668.8157368707	5640.65938183653	167063.757234651	57187.3801093413	202007.695863376	57402.8689945548	37672.9753655929	14968.310760199
